,time,open,high,low,close,volume
0,2015-12-01 04:00:00-05:00,118.88,118.94,118.6,118.65,5825
1,2015-12-01 05:00:00-05:00,118.65,118.72,118.5,118.72,7077
2,2015-12-01 06:00:00-05:00,118.71,118.99,118.71,118.9,14956
3,2015-12-01 07:00:00-05:00,118.88,118.98,118.76,118.94,24677
4,2015-12-01 08:00:00-05:00,118.88,119.0,118.6,118.63,95036
5,2015-12-01 09:00:00-05:00,118.63,118.85,118.15,118.65,4101576
6,2015-12-01 10:00:00-05:00,118.64,118.74,117.82,118.28,5896379
7,2015-12-01 11:00:00-05:00,118.29,118.48,117.97,118.07,2717698
8,2015-12-01 12:00:00-05:00,118.07,118.26,117.76,117.835,4133691
9,2015-12-01 13:00:00-05:00,117.83,117.84,117.13,117.36,4379144
10,2015-12-01 14:00:00-05:00,117.36,117.5,116.86,117.1445,4182916
11,2015-12-01 15:00:00-05:00,117.14,117.38,117.0,117.33,6381176
12,2015-12-01 16:00:00-05:00,117.33,117.39,117.2,117.3,2792787
13,2015-12-01 17:00:00-05:00,117.3,117.3,117.24,117.27,12587
14,2015-12-01 18:00:00-05:00,117.3,117.3,117.23,117.23,6329
15,2015-12-01 19:00:00-05:00,117.28,117.28,117.18,117.19,28717
16,2015-12-02 04:00:00-05:00,117.37,117.49,117.37,117.49,600
17,2015-12-02 05:00:00-05:00,117.46,117.46,117.4,117.4,242
18,2015-12-02 06:00:00-05:00,117.4,117.49,117.34,117.34,3109
19,2015-12-02 07:00:00-05:00,117.34,117.36,117.15,117.16,15501
20,2015-12-02 08:00:00-05:00,117.2,117.25,116.9,116.97,77430
21,2015-12-02 09:00:00-05:00,116.99,117.8,116.94,117.62,3914895
22,2015-12-02 10:00:00-05:00,117.62,118.11,117.34,117.88,5546229
23,2015-12-02 11:00:00-05:00,117.88,118.01,117.66,117.76,3373710
24,2015-12-02 12:00:00-05:00,117.76,118.07,117.695,117.9299,2509872
25,2015-12-02 13:00:00-05:00,117.92,117.97,117.24,117.29,2442610
26,2015-12-02 14:00:00-05:00,117.28,117.28,116.3384,116.51,4835838
27,2015-12-02 15:00:00-05:00,116.52,116.85,116.08,116.3,6754393
28,2015-12-02 16:00:00-05:00,116.28,116.44,116.28,116.39,3643775
29,2015-12-02 17:00:00-05:00,116.39,116.42,116.22,116.39,48043
30,2015-12-02 18:00:00-05:00,116.36,116.44,116.25,116.4,31715
31,2015-12-02 19:00:00-05:00,116.42,116.44,116.38,116.43,17117
32,2015-12-03 04:00:00-05:00,116.71,116.95,116.7,116.95,4265
33,2015-12-03 05:00:00-05:00,116.83,116.94,116.54,116.94,9293
34,2015-12-03 06:00:00-05:00,116.88,117.3,116.81,117.12,11762
